0,patient1,patient2,patient3,patient4,patient5,patient6,patient7,patient8,patient9,patient10
ABHD12B,6.0,12.0,23.0,22.0,9.0,13.0,11.0,24.0,5.0,11.0
ABHD13,589.0,766.0,649.0,334.0,442.0,599.0,662.0,183.0,758.0,871.0
ABHD14A,116.0,54.0,267.0,63.0,195.0,151.0,67.0,158.0,215.0,109.0
ABHD14A-ACY1,117.0,48.0,155.0,86.0,99.0,13.0,58.0,29.0,90.0,25.0
ABHD14B,363.0,502.0,510.0,367.0,520.0,320.0,298.0,396.0,539.0,404.0
ABHD15,33.0,60.0,79.0,44.0,37.0,63.0,50.0,31.0,71.0,79.0
ABHD16A,486.0,597.0,576.0,313.0,433.0,429.0,358.0,268.0,555.0,462.0
ABHD16B,14.0,16.0,18.0,4.0,12.0,12.0,9.0,1.0,8.0,9.0
ABHD17A,760.0,1321.0,1390.0,535.0,978.0,1063.0,649.0,550.0,1224.0,691.0
ABHD17B,418.0,585.0,439.0,370.0,529.0,531.0,680.0,303.0,621.0,759.0
ABHD17C,191.0,235.0,199.0,80.0,148.0,171.0,217.0,47.0,277.0,214.0
ABHD2,655.0,1590.0,1305.0,822.0,1132.0,1224.0,1038.0,438.0,578.0,1327.0
ABHD3,292.0,222.0,244.0,154.0,103.0,194.0,146.0,146.0,165.0,183.0
ABHD4,382.0,747.0,530.0,379.0,589.0,542.0,407.0,407.0,668.0,575.0
ABHD5,632.0,543.0,538.0,548.0,619.0,645.0,710.0,1042.0,569.0,864.0
ABHD6,439.0,488.0,530.0,378.0,489.0,520.0,392.0,100.0,1018.0,734.0
ABHD8,27.0,56.0,32.0,18.0,20.0,54.0,33.0,47.0,44.0,53.0
ABI1,2966.0,2164.0,2153.0,1226.0,1935.0,1715.0,2116.0,931.0,1912.0,2268.0
ABI2,257.0,440.0,311.0,208.0,215.0,250.0,271.0,259.0,230.0,374.0
ABI3,701.0,1273.0,1585.0,580.0,757.0,881.0,525.0,1585.0,1029.0,541.0
ABI3BP,95.0,24.0,65.0,54.0,14.0,31.0,37.0,43.0,12.0,49.0
ABL1,536.0,708.0,349.0,257.0,434.0,435.0,322.0,327.0,247.0,406.0
ABL2,782.0,1744.0,1085.0,2759.0,1861.0,906.0,938.0,1537.0,216.0,684.0
ABLIM1,4380.0,9198.0,6464.0,7458.0,6311.0,6634.0,5735.0,3293.0,3858.0,8308.0
ABLIM2,276.0,394.0,161.0,112.0,136.0,137.0,113.0,151.0,226.0,108.0
ABLIM3,1226.0,1923.0,972.0,791.0,1464.0,1088.0,1046.0,518.0,1028.0,1343.0
ABO,21.0,84.0,67.0,47.0,73.0,45.0,68.0,126.0,36.0,21.0
ABR,415.0,784.0,423.0,205.0,294.0,616.0,297.0,270.0,216.0,340.0
ABRA,1.0,4.0,6.0,9.0,8.0,14.0,4.0,1.0,4.0,1.0
ABRACL,302.0,160.0,547.0,191.0,337.0,158.0,262.0,330.0,492.0,374.0
ABT1,1108.0,1345.0,1219.0,400.0,525.0,883.0,719.0,335.0,1021.0,850.0
ABTB1,427.0,707.0,502.0,311.0,421.0,636.0,296.0,150.0,714.0,455.0
ABTB2,58.0,1.0,5.0,2.0,8.0,4.0,18.0,66.0,10.0,11.0
ACAA1,449.0,609.0,880.0,535.0,673.0,653.0,464.0,283.0,804.0,516.0
ACAA2,496.0,463.0,1102.0,430.0,804.0,568.0,559.0,276.0,850.0,527.0
ACACA,190.0,326.0,122.0,177.0,158.0,249.0,173.0,168.0,79.0,171.0
ACACB,370.0,1492.0,477.0,890.0,738.0,1407.0,506.0,924.0,565.0,877.0
ACAD10,135.0,410.0,137.0,115.0,177.0,155.0,127.0,59.0,175.0,178.0
ACAD11,426.0,813.0,397.0,421.0,413.0,358.0,344.0,201.0,445.0,315.0
ACAD8,294.0,428.0,416.0,197.0,391.0,285.0,333.0,193.0,450.0,333.0
ACAD9,392.0,697.0,515.0,231.0,342.0,473.0,423.0,261.0,496.0,513.0
ACADL,18.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,12.0,12.0
ACADM,920.0,989.0,1431.0,575.0,822.0,744.0,949.0,511.0,1286.0,949.0
ACADS,238.0,324.0,581.0,251.0,503.0,392.0,283.0,211.0,478.0,318.0
ACADSB,612.0,897.0,529.0,608.0,660.0,687.0,765.0,465.0,434.0,792.0
ACADVL,4901.0,5443.0,3105.0,2343.0,2648.0,3679.0,2282.0,2208.0,2799.0,2436.0
ACAN,42.0,153.0,25.0,19.0,19.0,56.0,64.0,5.0,1.0,29.0
ACAP1,4.0,4.0,3.0,3.0,3.0,4.0,7.0,8.0,8.0,5.0
ACAP2,1341.0,2201.0,1925.0,1547.0,1587.0,1527.0,1823.0,1377.0,894.0,1747.0
ACAP3,227.0,339.0,74.0,76.0,105.0,158.0,99.0,154.0,130.0,163.0
ACAT1,1265.0,1045.0,2015.0,961.0,1132.0,991.0,1036.0,615.0,1661.0,1313.0
ACAT2,218.0,180.0,243.0,119.0,154.0,126.0,165.0,63.0,235.0,206.0
ACBD3,2107.0,3738.0,2794.0,1585.0,1650.0,2455.0,1700.0,2455.0,1316.0,2129.0
ACBD4,140.0,119.0,156.0,129.0,140.0,171.0,132.0,153.0,205.0,120.0
ACBD5,541.0,1079.0,695.0,461.0,790.0,631.0,726.0,419.0,712.0,756.0
ACBD6,427.0,517.0,623.0,285.0,531.0,417.0,377.0,181.0,577.0,416.0
ACBD7,58.0,152.0,55.0,168.0,73.0,111.0,120.0,139.0,36.0,60.0
ACCS,516.0,1242.0,263.0,391.0,366.0,374.0,227.0,796.0,451.0,259.0
ACCSL,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0
ACD,475.0,554.0,593.0,269.0,288.0,472.0,318.0,217.0,344.0,304.0
ACE,468.0,1472.0,762.0,146.0,1565.0,1191.0,671.0,510.0,891.0,848.0
ACE2,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0
ACER1,17.0,0.0,4.0,1.0,1.0,7.0,0.0,3.0,13.0,18.0
ACER2,20.0,72.0,74.0,115.0,114.0,45.0,27.0,128.0,17.0,52.0
ACER3,763.0,803.0,620.0,510.0,933.0,568.0,645.0,386.0,319.0,600.0
ACHE,28.0,27.0,12.0,17.0,15.0,22.0,13.0,44.0,18.0,4.0
ACIN1,357.0,1453.0,1158.0,850.0,953.0,1112.0,961.0,1064.0,881.0,841.0
ACKR1,51019.0,101172.0,89863.0,58244.0,73009.0,71086.0,50772.0,53931.0,75156.0,58320.0
ACKR2,23.0,53.0,36.0,67.0,33.0,49.0,33.0,68.0,18.0,31.0
ACKR3,1371.0,3004.0,7844.0,3165.0,2765.0,1486.0,1195.0,180.0,746.0,1460.0
ACKR4,49.0,48.0,108.0,25.0,28.0,32.0,30.0,20.0,37.0,35.0
ACLY,897.0,1179.0,1027.0,645.0,1336.0,1245.0,948.0,386.0,893.0,1231.0
ACMSD,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
ACO1,617.0,775.0,699.0,464.0,763.0,581.0,465.0,283.0,502.0,563.0
ACO2,1097.0,1731.0,1251.0,758.0,1113.0,1174.0,874.0,333.0,1247.0,1066.0
ACOT1,64.0,62.0,93.0,41.0,35.0,25.0,51.0,70.0,73.0,15.0
ACOT11,8.0,35.0,4.0,4.0,3.0,4.0,5.0,1.0,15.0,14.0
ACOT12,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
ACOT13,218.0,402.0,637.0,235.0,329.0,306.0,296.0,235.0,634.0,456.0
ACOT2,341.0,691.0,726.0,358.0,286.0,351.0,387.0,347.0,505.0,432.0
ACOT4,6.0,0.0,38.0,4.0,5.0,4.0,9.0,6.0,18.0,8.0
ACOT6,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0
ACOT7,144.0,170.0,241.0,99.0,219.0,127.0,70.0,48.0,132.0,102.0
ACOT8,43.0,171.0,153.0,38.0,112.0,67.0,60.0,57.0,160.0,67.0
ACOT9,611.0,958.0,1017.0,581.0,686.0,640.0,587.0,254.0,906.0,748.0
ACOX1,409.0,513.0,443.0,346.0,515.0,457.0,526.0,459.0,394.0,683.0
ACOX2,170.0,65.0,15.0,8.0,5.0,45.0,12.0,3.0,35.0,31.0
ACOX3,262.0,342.0,299.0,123.0,343.0,227.0,218.0,77.0,212.0,218.0
ACOXL,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0
ACP1,1058.0,1108.0,1560.0,596.0,1303.0,974.0,1181.0,540.0,2273.0,1326.0
ACP2,385.0,629.0,793.0,393.0,932.0,548.0,589.0,318.0,860.0,535.0
ACP5,11.0,11.0,9.0,3.0,8.0,20.0,9.0,3.0,13.0,11.0
ACP6,4.0,1.0,19.0,3.0,5.0,6.0,6.0,5.0,15.0,19.0
ACPP,34.0,38.0,9.0,8.0,5.0,17.0,18.0,34.0,19.0,60.0
ACPT,0.0,7.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,5.0
ACR,8.0,13.0,5.0,5.0,6.0,12.0,5.0,2.0,2.0,1.0
ACRBP,17.0,28.0,26.0,18.0,25.0,16.0,12.0,18.0,11.0,9.0
ACRC,17.0,40.0,26.0,22.0,5.0,46.0,21.0,24.0,20.0,15.0
ACRV1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ACSBG1,36.0,6.0,3.0,3.0,0.0,8.0,14.0,7.0,14.0,5.0
ACSBG2,3.0,6.0,2.0,3.0,3.0,2.0,2.0,1.0,8.0,2.0
ACSF2,45.0,89.0,78.0,23.0,54.0,56.0,52.0,38.0,94.0,99.0
ACSF3,123.0,265.0,288.0,130.0,188.0,220.0,148.0,95.0,234.0,170.0
ACSL1,532.0,198.0,125.0,61.0,108.0,250.0,250.0,116.0,374.0,498.0
ACSL3,857.0,1318.0,953.0,992.0,926.0,928.0,865.0,446.0,934.0,1081.0
ACSL4,672.0,946.0,767.0,534.0,842.0,699.0,777.0,444.0,542.0,1048.0
ACSL5,1952.0,2162.0,1783.0,1135.0,1600.0,1480.0,1226.0,555.0,1483.0,1749.0
ACSL6,3.0,12.0,10.0,19.0,12.0,14.0,9.0,21.0,2.0,6.0
ACSM1,13.0,30.0,16.0,4.0,4.0,4.0,5.0,13.0,13.0,11.0
ACSM2A,7.0,16.0,19.0,26.0,7.0,28.0,20.0,57.0,11.0,11.0
ACSM2B,3.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,7.0,0.0
ACSM3,18.0,8.0,8.0,5.0,7.0,11.0,13.0,3.0,34.0,24.0
ACSM4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ACSM5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0
ACSM6,2.0,100.0,3.0,6.0,3.0,7.0,4.0,6.0,30.0,2.0
ACSS1,266.0,548.0,148.0,94.0,133.0,310.0,168.0,162.0,281.0,334.0
ACSS2,532.0,766.0,763.0,413.0,649.0,632.0,512.0,571.0,689.0,699.0
ACSS3,0.0,9.0,9.0,1.0,6.0,2.0,7.0,1.0,8.0,12.0
ACTA1,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
ACTA2,48.0,28.0,26.0,34.0,10.0,46.0,16.0,64.0,15.0,59.0
ACTA2-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTB,79354.0,73296.0,133225.0,44280.0,84748.0,60136.0,49162.0,51767.0,69427.0,59971.0
ACTBL2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ACTG1,28723.0,20438.0,51824.0,17427.0,28837.0,26463.0,23243.0,21807.0,26558.0,26561.0
ACTG1P17,3.0,14.0,9.0,29.0,8.0,23.0,13.0,38.0,4.0,11.0
ACTG1P20,94.0,139.0,72.0,85.0,63.0,112.0,110.0,111.0,71.0,100.0
ACTG1P4,5.0,15.0,6.0,7.0,1.0,3.0,6.0,9.0,0.0,0.0
ACTG2,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0
ACTL10,0.0,2.0,10.0,1.0,3.0,5.0,2.0,6.0,7.0,4.0
ACTL6A,857.0,950.0,1160.0,485.0,686.0,728.0,798.0,328.0,1258.0,1093.0
ACTL6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL7A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL7B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTN1,10488.0,20024.0,10202.0,5894.0,13759.0,12354.0,8883.0,6046.0,6537.0,8156.0
ACTN1-AS1,1.0,0.0,2.0,1.0,2.0,1.0,0.0,10.0,1.0,0.0
ACTN2,2.0,44.0,64.0,0.0,0.0,9.0,58.0,0.0,28.0,8.0
ACTN3,1.0,3.0,7.0,1.0,0.0,5.0,3.0,0.0,1.0,5.0
ACTN4,1018.0,1531.0,1492.0,933.0,1264.0,1029.0,858.0,1926.0,772.0,945.0
ACTR10,1308.0,1465.0,2081.0,867.0,1238.0,1182.0,1302.0,735.0,2254.0,1433.0
ACTR1A,943.0,1525.0,1728.0,754.0,1464.0,1318.0,1041.0,493.0,1505.0,1304.0
ACTR1B,219.0,414.0,396.0,222.0,273.0,379.0,215.0,290.0,403.0,276.0
ACTR2,2850.0,5664.0,7614.0,3769.0,7853.0,5798.0,5707.0,2143.0,6451.0,8079.0
ACTR3,6731.0,5305.0,5578.0,3299.0,3568.0,4358.0,4680.0,3618.0,3989.0,5440.0
ACTR3B,150.0,316.0,146.0,113.0,199.0,139.0,204.0,104.0,208.0,140.0
ACTR3BP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3BP5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTR3C,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,4.0
ACTR5,166.0,314.0,262.0,122.0,241.0,233.0,190.0,90.0,287.0,232.0
ACTR6,460.0,491.0,675.0,268.0,370.0,381.0,448.0,199.0,894.0,616.0
ACTR8,181.0,306.0,320.0,123.0,268.0,320.0,200.0,67.0,371.0,260.0
ACTRT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACTRT3,37.0,558.0,33.0,38.0,43.0,274.0,131.0,105.0,272.0,187.0
ACVR1,119.0,247.0,324.0,120.0,288.0,208.0,258.0,146.0,201.0,312.0
ACVR1B,308.0,379.0,293.0,348.0,210.0,270.0,347.0,348.0,120.0,328.0
ACVR1C,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,0.0,12.0
ACVR2A,344.0,233.0,263.0,193.0,430.0,340.0,392.0,218.0,446.0,590.0
ACVR2B,22.0,170.0,49.0,61.0,42.0,68.0,67.0,59.0,48.0,72.0
ACVR2B-AS1,29.0,73.0,40.0,60.0,41.0,38.0,52.0,47.0,35.0,36.0
ACVRL1,313.0,805.0,866.0,322.0,536.0,442.0,347.0,152.0,493.0,476.0
ACY1,14.0,26.0,0.0,23.0,37.0,76.0,12.0,37.0,68.0,65.0
ACY3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACYP1,238.0,220.0,307.0,121.0,163.0,223.0,188.0,232.0,287.0,192.0
ACYP2,138.0,101.0,177.0,96.0,131.0,107.0,95.0,148.0,307.0,182.0
ADA,606.0,813.0,471.0,317.0,410.0,491.0,308.0,324.0,680.0,403.0
ADAD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAD2,3.0,0.0,2.0,7.0,4.0,0.0,4.0,2.0,2.0,4.0
ADAL,97.0,119.0,115.0,123.0,92.0,78.0,96.0,88.0,118.0,101.0
ADAM10,1928.0,2036.0,1675.0,1273.0,2043.0,1890.0,1959.0,1239.0,1635.0,2536.0
ADAM11,1.0,42.0,3.0,3.0,6.0,5.0,3.0,0.0,2.0,6.0
ADAM12,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
ADAM15,3497.0,6857.0,6324.0,2712.0,5983.0,6592.0,3515.0,833.0,4600.0,3452.0
ADAM17,776.0,1379.0,730.0,664.0,890.0,767.0,738.0,436.0,530.0,793.0
ADAM18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM19,4.0,28.0,18.0,27.0,10.0,10.0,8.0,15.0,3.0,8.0
ADAM1A,5.0,25.0,7.0,6.0,4.0,11.0,13.0,7.0,7.0,12.0
ADAM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ADAM20,1.0,0.0,1.0,3.0,1.0,0.0,0.0,3.0,1.0,1.0
ADAM20P1,0.0,5.0,0.0,2.0,1.0,3.0,2.0,6.0,1.0,0.0
ADAM21,0.0,0.0,5.0,3.0,1.0,7.0,2.0,5.0,3.0,8.0
ADAM21P1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ADAM22,21.0,112.0,40.0,41.0,19.0,70.0,46.0,22.0,22.0,48.0
ADAM23,67.0,162.0,199.0,11.0,192.0,31.0,32.0,41.0,57.0,17.0
ADAM28,7.0,1.0,4.0,19.0,10.0,11.0,18.0,8.0,12.0,24.0
ADAM29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM32,45.0,105.0,15.0,44.0,62.0,49.0,11.0,10.0,49.0,17.0
ADAM33,9.0,8.0,5.0,13.0,3.0,11.0,7.0,13.0,5.0,2.0
ADAM3A,1.0,8.0,3.0,4.0,2.0,3.0,3.0,4.0,1.0,0.0
ADAM5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADAM7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ADAM8,26.0,1.0,5.0,1.0,0.0,8.0,7.0,6.0,12.0,8.0
